,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,009:009-021,9 1/2-inch Alphabet  Letter,Tax,,35
,Non-inventory Part,009:009-022,Perforated Metal Screen,Tax,,85
,Non-inventory Part,009:009-023,Lock Protection Sheet Metal,Tax,,150
,Non-inventory Part,009:009-024,4-inch Channel,Tax,,0
,Non-inventory Part,009:009-025,Flat plate,Tax,,5
,Non-inventory Part,009:009-026,Tab with Holes,Tax,,5
,Non-inventory Part,009:009-027,"2"" x 2"" Flat Bar Cover",Tax,,5
,Non-inventory Part,009:009-028,"2"" Angle Taps",Tax,,5
,Non-inventory Part,009:009-029,4-inch Angle Bracket,Tax,,2
,Non-inventory Part,009:009-030,"12"" Strike Plate",Tax,,15
,Non-inventory Part,009:009-031,"1/2"" x ""' Solid Bar",Tax,,10
,Non-inventory Part,009:009-032,"1/2"" Solid Bar",Tax,,2.5
,Non-inventory Part,009:009-033,"1 1/2"" x 3"" Clips",Tax,,1.5
,Non-inventory Part,009:009-034,"4"" x 4"" Mounting Plate",Tax,,8.5
,Non-inventory Part,009:009-035,Gate Latch,Tax,,25
,Non-inventory Part,009:009-036,"3"" x 1/""' Flat Bar",Tax,,5
,Non-inventory Part,009:009-037,Galvanized Sheet Metal 4' X 10',Tax,,116
,Non-inventory Part,009:009-038,"1/4""  Flat plate",Tax,,3
,Non-inventory Part,009:009-039,Wall Brackets,Tax,,10
,Non-inventory Part,009:009-040,"1 1/2"" Galvanized Round Pipe",Tax,,4
,Non-inventory Part,009:009-041,#123 Picket Casting,Tax,,13.5
,Non-inventory Part,009:009-042,"1/2"" X 1"" Solid Bar",Tax,,5
,Non-inventory Part,009:009-043,"4 1/2"" Rings",Tax,,5
,Non-inventory Part,009:009-044,"1/2"" Turn Buckle",Tax,,10
,Non-inventory Part,009:009-045,"2"" Round Pipe",Tax,,2.5
,Non-inventory Part,009:009-046,Carriage Bolt,Tax,,3
,Non-inventory Part,009:009-047,Chain-Link,Tax,,10
,Non-inventory Part,009:009-048,Barbed Wire,Tax,,1.5
,Non-inventory Part,009:009-049,Fender Washer,Tax,,0.5
,Non-inventory Part,009:009-050,Tek Screws,Tax,,0.5
,Non-inventory Part,009:009-051,Cane Bolt,Tax,,20
,Non-inventory Part,009:009-052,Custom Covers,Tax,,65
,Non-inventory Part,009:009-053,Precast Angle Bracket,Tax,,15
,Non-inventory Part,009:009-054,"3/4"" Custom Cain Bolt",Tax,,45
,Non-inventory Part,009:009-055,Punch Spears,Tax,,7
,Non-inventory Part,009:009-056,Spears,Tax,,2
,Non-inventory Part,009:009-059,Press metal cap,Tax,,6.5
,Non-inventory Part,009:009-061,"3"" x 3"" Angle",Tax,,15
,Non-inventory Part,009:009-062,Cast Iron Collar,Tax,,2.5
,Non-inventory Part,009:009-063,Custom operator bracket.,Tax,,60
,Non-inventory Part,009:009-064,Custom made scroll,Tax,,17
,Non-inventory Part,009:009-065,Custom pickets with single pineapple ornament,Tax,,11
,Non-inventory Part,009:009-066,Custom pickets with double pineapple ornament,Tax,,14.5
,Non-inventory Part,009:009-067,post bottom covers,Tax,,12
,Non-inventory Part,009:009-068,Operator Bracket,Tax,,35
,Non-inventory Part,009:009-069,Perforated sheet  metal.,Tax,,90
,Non-inventory Part,009:009-070,1/2-inch all tread 10-feet lengths,Tax,,25
,Non-inventory Part,009:009-071,1/2-inch flat plate,Tax,,50
,Non-inventory Part,009:009-072,Gate Arm,Tax,,60
,Non-inventory Part,009:009-073,4-feet by 10-feet diamond plate 3/16 thickness,Tax,,630
,Non-inventory Part,009:009-074,Custom sheet metal,Tax,,80
,Non-inventory Part,009:009-075,Stainless steel pickets,Tax,,0
,Non-inventory Part,009:009-076,5/16 Chain,Tax,,10
,Non-inventory Part,009:009-077,Fire Release,Tax,,18
,Non-inventory Part,009:009-078,"4"" Mounting Plates",Tax,,17
,Non-inventory Part,009:009-079,Flag Post,Tax,,200
,Non-inventory Part,009:009-080,Light Post,Tax,,250
,Non-inventory Part,009:009-081,"4"" Round Pipe",Tax,,35
,Non-inventory Part,009:009-082,"3/8"" x12"" Plate with 1/2"" holes",Tax,,40
,Non-inventory Part,009:009-083,"8"" X 8"" X 3/8"" X 10' with a 12"" x 12"" X 1/2"" plate and 4 3/4"" holes",Tax,,925
,Non-inventory Part,009:009-089,Gate Catch,Tax,,25
,Non-inventory Part,009:009-090,V-track,Tax,,200
,Non-inventory Part,009:009-092,Razor wire. 50 feet rolls,Tax,,100
,Non-inventory Part,009-084,1/2-inch steel plate,Tax,,2.8
,Non-inventory Part,009-085,W8 X 10 I beam,Tax,,0
,Non-inventory Part,009-086,w 6 X 10 I beam,Tax,,0
,Non-inventory Part,009-087,C10 X 22 X 20,Tax,,58
,Non-inventory Part,009-088,4-inch Channel,Tax,,12
,Non-inventory Part,009-093,"8"" X 8"" column.",Tax,,0
,Non-inventory Part,009-094,"14"" X 14"" Plate",Tax,,0
,Non-inventory Part,009-095,"3"" X 3"" X 1/4"" X 9' Angle",Tax,,0
,Non-inventory Part,009-096,Simpson CCO and ECC brackets.,Tax,,66.5
,Non-inventory Part,10,DOOR STRIKES AND TRANSFORMERS,Tax,,0
,Non-inventory Part,010:010-001,RCI long electric strike.,Tax,,120
,Non-inventory Part,010:010-0010,TR001C 8-16Vlts Electric Door Strike,Tax,,85
,Non-inventory Part,010:010-002,Enforcer door strike SD-995C 12 DC,Tax,,185
,Non-inventory Part,010:010-003,R1BS08 24Vlts DC Electric Door Strike,Tax,,95
,Non-inventory Part,010:010-004,RCI long strike R15BS0 11-16Vlts,Tax,,90
,Non-inventory Part,010:010-005,R15BS05 12 Vlts DC,Tax,,66
,Non-inventory Part,010:010-006,R15Bs08 24Vlts DC Electric Door Strike,Tax,,80
,Non-inventory Part,010:010-007,TR1001 12C Wood or Metal 16-24 Vlts Electric Door Strike,Tax,,45
,Non-inventory Part,010:010-008,RCI Short Door Strike 11-16 Volts,Tax,,95
,Non-inventory Part,010:010-009,Door Strike S-001,Tax,,32
,Non-inventory Part,010:010-010,Electric Door Strike,Tax,,120
,Non-inventory Part,010:010-011,Door Strike TR002 8/16,Tax,,54
,Non-inventory Part,010:010-012,Electric Door Strike Trine,Tax,,578
,Non-inventory Part,010:010-013,TR2001C  8-16 VDC Electric Door Strike,Tax,,130
,Non-inventory Part,010:010-014,12V AC 20VA Transformer,Tax,,65
,Non-inventory Part,010:010-015,16.5 Vac/ac Transformer,Tax,,65
,Non-inventory Part,010:010-016,24 Volts AC20VA Transformer Plug-in Type,Tax,,65
,Non-inventory Part,010:010-017,24 V Transformer DC,Tax,,65
,Non-inventory Part,010:010-018,16Vlts/Ac 20Va Transformer Hard Wire Type,Tax,,35
,Non-inventory Part,010:010-019,Universal 12-24 VDC Door Strike,Tax,,180
,Non-inventory Part,010:010-020,Strike Plate,Tax,,35
,Non-inventory Part,010:010-021,Strike Box,Tax,,80
,Non-inventory Part,010:010-022,Transformer 9VDC,Tax,,40
,Non-inventory Part,010:010-023,Electric Door Strike with Dead Bolt,Tax,,568
,Non-inventory Part,010:010-024,Bridge Rectifier,Tax,,50
,Non-inventory Part,010:010-025,Adams rite electric door strike,Tax,,300
,Non-inventory Part,010:010-026,12VAC 40 VA,Tax,,20
,Non-inventory Part,010:013-014,Cylinder from Schlage to Kwikset,Tax,,17
,Non-inventory Part,010-027,Power strip.,Tax,,30
,Non-inventory Part,010-DKES-C2-1FX,Electric door strike,Tax,,95
,Non-inventory Part,11,GEARS AND SPROCKETS,Tax,,0
,Non-inventory Part,011:011-001,3/16 Key Stock,Tax,,6
,Non-inventory Part,011:011-002,1/4 key Stock,Tax,,7
,Non-inventory Part,011:011-003,1/8 Key Stock,Tax,,5
,Non-inventory Part,011:011-004,Roll Pin,Tax,,2
,Non-inventory Part,011:011-005,Cutter Pin,Tax,,2
,Non-inventory Part,011:011-006,2.5 Motor Pulley,Tax,,45
,Non-inventory Part,011:011-007,41B11 Sprocket 3/4 Shaft 41C,Tax,,24
,Non-inventory Part,011:011-008,GTO Pins,Tax,,29
,Non-inventory Part,011:011-009,End Gear Assembly,Tax,,85
,Non-inventory Part,011:011-010,6L920#41B17,Tax,,50
,Non-inventory Part,011:011-011,4.5 Gear Box Pulley Ramset,Tax,,45
,Non-inventory Part,011:011-012,Sprocket 40-16 -3/4,Tax,,45
,Non-inventory Part,011:011-013,Sprockets 41B20,Tax,,76.56
,Non-inventory Part,011:011-014,Shaft 1' x 9' 1/4 Key Way,Tax,,75
,Non-inventory Part,011:011-015,Main Gear,Tax,,95
,Non-inventory Part,011:011-016,41B22 Sprocket,Tax,,35
,Non-inventory Part,011:011-017,Edko Main Gear Assembly,Tax,,150
,Non-inventory Part,011:011-018,HN50B17 Idler Sprocket,Tax,,160
,Non-inventory Part,011:011-019,Edko Clutch Assembly,Tax,,45
,Non-inventory Part,011:011-020,"Shaft (1"" Solid Round 12"" with Key way)",Tax,,180
,Non-inventory Part,011:011-021,"1"" Flange Bearing",Tax,,120
,Non-inventory Part,011:011-022,SL-100 Drive Sprocket,Tax,,40
,Non-inventory Part,011-023,Ram set clutch assembly.,Tax,,190
,Non-inventory Part,011-024,Idler sprocket needle ANSI-50 6AGN6,Tax,,245
,Non-inventory Part,12,RELAYS AND TIMERS,Tax,,0
,Non-inventory Part,012:012-001,24 vac Relay 5X837,Tax,,35
,Non-inventory Part,012:012-002,120vac Relay 5X838,Tax,,25
,Non-inventory Part,012:012-003,24vac Relay5X840 11pn,Tax,,30
,Non-inventory Part,012:012-004,120vac Relay 5X841 11pn,Tax,,30
,Non-inventory Part,012:012-005,24vdc Relay Oval 8pn 1A484,Tax,,35
,Non-inventory Part,012:012-006,Elite Square Relay24vac,Tax,,30
,Non-inventory Part,012:012-007,Power relay contractor.,Tax,,125
,Non-inventory Part,012:012-008,Contactor Single,Tax,,140
,Non-inventory Part,012:012-009,Dunco Contactor Double,Tax,,165
,Non-inventory Part,012:012-010,Timer 5X828,Tax,,92
,Non-inventory Part,012:012-011,Timer 5X829,Tax,,92
,Non-inventory Part,012:012-012,Access Controls Timer,Tax,,80
,Non-inventory Part,012:012-013,Relay,Tax,,50
,Non-inventory Part,012:012-014,Osco 4-Wire Timer,Tax,,104
,Non-inventory Part,012:012-015,7 Day Programmable timer,Tax,,180
,Non-inventory Part,012:012-016,Electrical imer Mechanical,Tax,,65
,Non-inventory Part,012:012-017,Latching Realy 3A966,Tax,,70
,Non-inventory Part,012:012-018,Relay Assembly,Tax,,180
,Non-inventory Part,012:012-019,Multi-purpose Timer,Tax,,65
,Non-inventory Part,012:012-020,Multi-zone annual event timer,Tax,,450
,Non-inventory Part,012-021,1 HP Motor 230 Volts C Face,Tax,,550
,Non-inventory Part,012-022,"1 1/2"" Cooling Fan 12VCD",Tax,,15
,Non-inventory Part,012-023,Two button station.,Tax,,150
,Non-inventory Part,13,LOCK SETS AND HINGES,Tax,,0
,Non-inventory Part,013:013-001,Regular Butt Hinges,Tax,,15
,Non-inventory Part,013:013-0012, Door Closer,Tax,,115
,Non-inventory Part,013:013-002,5-inch Heavy-Duty Butt Hinge,Tax,,35
,Non-inventory Part,013:013-003,Block Bearing Hinges,Tax,,150
,Non-inventory Part,013:013-0033,Key Keeper Postal Service,Tax,,80
,Non-inventory Part,013:013-004,Small Block Bearing Hinge Residential,Tax,,60
,Non-inventory Part,013:013-005,"2 3/4""  Dead latch",Tax,,53
,Non-inventory Part,013:013-006,"2 3/8""  Dead latch",Tax,,55
,Non-inventory Part,013:013-007,Passage lever type Schlage,Tax,,42.28
,Non-inventory Part,013:013-008,Key,Tax,,3
,Non-inventory Part,013:013-009,Handicap Access Lever Lock,Tax,,250
,Non-inventory Part,013:013-010,A80pd Lock Set/ heavy-duty,Tax,,156
,Non-inventory Part,013:013-012,Kant Slam Door Closer,Tax,,130
,Non-inventory Part,013:013-013,Key Switch,Tax,,50
,Non-inventory Part,013:013-015,Schlage Dead Bolt Double Cylinder,Tax,,85
,Non-inventory Part,013:013-016,Key Switch Box with Cover,Tax,,85
,Non-inventory Part,013:013-0160,Hook Lock Double Cylinder Schlage keyway,Tax,,55
,Non-inventory Part,013:013-017,Magnetic lock M62G 1200 LBS Holding force.,Tax,,600
,Non-inventory Part,013:013-0170,Magnetic lock power supply with battery back-up,Tax,,350
,Non-inventory Part,013:013-018,handycup Lever lock Set,Tax,,230
,Non-inventory Part,013:013-019,Cam-Lock,Tax,,20
,Non-inventory Part,013:013-020,Sentex Com-Lock,Tax,,30
,Non-inventory Part,013:013-021,Pin Kit,Tax,,35
,Non-inventory Part,013:013-022,Spring Closer,Tax,,45
,Non-inventory Part,013:013-023,Lock Protection,Tax,,50
,Non-inventory Part,013:013-024,Door stop,Tax,,5.5
,Non-inventory Part,013:013-025,Set of keys,Tax,,5
,Non-inventory Part,013:013-026,S32 24 Vac Mag Lock wit exit push button,Tax,,500
,Non-inventory Part,013:013-027,M32F Magnetic lock with 600 LBS of pressure front mount.,Tax,,500
,Non-inventory Part,013:013-028,Store Room lock set,Tax,,120
,Non-inventory Part,013:013-029,Lock Set Cylinder,Tax,,25
,Non-inventory Part,013:013-030,Touch Bar,Tax,,680
,Non-inventory Part,013:013-031,Hydraulic closer arm set.,Tax,,40
,Non-inventory Part,013:013-032,Single Lock Box,Tax,,30
,Non-inventory Part,013:013-033,Electric strike box,Tax,,45
,Non-inventory Part,013:013-034,Up-hill Hinges,Tax,,218
,Non-inventory Part,013:013-035,key duplicate,Tax,,5
,Non-inventory Part,013:013-036,Panic Bar w/ER Alarm,Tax,,535.5
,Non-inventory Part,013:013-037,Combination pad-lock,Tax,,40
,Non-inventory Part,013:013-038,Lock Hole cover kit,Tax,,10
,Non-inventory Part,013:013-039,Manual Gate Latch,Tax,,8
,Non-inventory Part,013:013-040,Bumer Hinges Single Action,Tax,,72
,Non-inventory Part,013:013-041,Alum. Door Eledtric Strike,Tax,,200
,Non-inventory Part,013:013-042,Mortise Cylinder,Tax,,40
,Non-inventory Part,013:013-043,Key Switch Box,Tax,,160
,Non-inventory Part,013:013-044,852 Hydraulic Door Closer,Tax,,105
,Non-inventory Part,013:013-045,Bummer high 3-inch spring loaded one pair,Tax,,50
,Non-inventory Part,013:013-046,Hydraulic Door Closer for aluminum/glass door,Tax,,190
,Non-inventory Part,013:013-047,Heavy-duty Security Slide Bolt,Tax,,20
,Non-inventory Part,013:013-048,double cylinder lock set Cal Royal,Tax,,190
,Non-inventory Part,013:013-049,Cover Kit,Tax,,10
,Non-inventory Part,013:013-050,Securitron Exit Push Button,Tax,,95
,Non-inventory Part,013:013-051,Hook Lock Key Entry Free Exit Schelage key,Tax,,39.5
,Non-inventory Part,013:013-052,Free Pass Koor Knob,Tax,,60
,Non-inventory Part,013:013-053,Heavy Duty Norton Door Closer 7500-689..1-5,Tax,,360
,Non-inventory Part,013:013-054,Double Lock Box,Tax,,20
,Non-inventory Part,013:013-055,Back set lock,Tax,,50
,Non-inventory Part,013:013-056,Door Anuciator,Tax,,233.9
,Non-inventory Part,013:013-057,Door Stop,Tax,,15
,Non-inventory Part,013:013-058,Armed Cable,Tax,,25
,Non-inventory Part,013:013-059,Gate Stop,Tax,,60
,Non-inventory Part,013:013-060,Garage Door Key Release,Tax,,45
,Non-inventory Part,013:013-063,Strike Plate,Tax,,50
,Non-inventory Part,013:013-064,Swivel hinges with custom flange,Tax,,252
,Non-inventory Part,013:013-065,Lock set exit only no entry.,Tax,,105.32
,Non-inventory Part,013:013-066,Pull Handles,Tax,,65
,Non-inventory Part,013:013-067,Push Plates,Tax,,18
,Non-inventory Part,013:013-068,Dead Latch Screws,Tax,,5
,Non-inventory Part,013:013-069,KS Latch,Tax,,30
,Non-inventory Part,013:013-070,854 Hydraulic Closer,Tax,,150
,Non-inventory Part,013:013-071,"4 Bolt flange hinge (one pair), injection molded composite housing has ultra high strength for t...",Tax,,436
,Non-inventory Part,013:013-072,Custom hinges,Tax,,0
,Non-inventory Part,013:013-077,US-CAN / Lever Lock Set,Tax,,125
,Non-inventory Part,013:013-078,Electric Lock - Cylindrical type (Schlage),Tax,,805
,Non-inventory Part,013:013-079,Standard mail box.,Tax,,150
,Non-inventory Part,013:013-082,Hydraulic Door Closer 853,Tax,,110
,Non-inventory Part,013:013-096,Dl5200 Trilogy. double sided lock.,Tax,,1350
,Non-inventory Part,013-026,Custom steel hinged box,Tax,,95
,Non-inventory Part,013-063,Residential door closer TB-175,Tax,,110
,Non-inventory Part,013-064,Electric strike for use with panic bar.,Tax,,250
,Non-inventory Part,013-073,LL Pro Pool Lock,Tax,,160
,Non-inventory Part,013-075,EE1000 Series Mechanical push button keyless entry double sided lock with single code access.,Tax,,1147.5
,Non-inventory Part,013-076,Mechanical and electronic push button weldable boxes.,Tax,,75
,Non-inventory Part,013-079,PVC nylon bristles 36 inches wide.,Tax,,72
,Non-inventory Part,013-080,Single cylinder lock set with death latch.,Tax,,85
,Non-inventory Part,013-081,Combination lock set model number LK2835,Tax,,400
,Non-inventory Part,013-083,Samson gate closer 400. (For gates between 100-180 lbs),Tax,,630
,Non-inventory Part,013-084,"Lock keey, combo lock double sided. Includes mounting box.",Tax,,430
,Non-inventory Part,013-085,Slide bolt.,Tax,,30
,Non-inventory Part,013-086,Lockey 2835 double side it.,Tax,,415
,Non-inventory Part,013-089,Es- securitron handicap push plate open device.,Tax,,180
,Non-inventory Part,013-090,Double sided key lock set.,Tax,,150
,Non-inventory Part,013-091,Seco Alarm Magnetic lock,Tax,,260
,Non-inventory Part,013-092,LCN4040XP,Tax,,410
,Non-inventory Part,013-093,ND82PD Heavy duty Knob Lock.,Tax,,620
,Non-inventory Part,013-095,Electric strike box.,Tax,,60
,Non-inventory Part,013-097,Lockey Hydraulic pedestrian gate closer. LKTB-600,Tax,,470
,Non-inventory Part,013-098,Mortise lock with handle,Tax,,60
,Non-inventory Part,013-099,Pad-lock,Tax,,20
,Non-inventory Part,013-100,Verti-close #2 Industrial heavy duty gate closer.,Tax,,600
,Non-inventory Part,013-101,Lockey TB-200 Hydraulic door closer.,Tax,,350
,Non-inventory Part,013-102,Double magnetic lock set. 600 LBS locking force.,Tax,,800
,Non-inventory Part,013-103,"2 3/8"" Schlage Dead Latch",Tax,,106
,Non-inventory Part,013-k2-54,"Heavy-Duty Door Closer Grey 1 (for 48"" doors, up to 330Lbs)",Tax,,450
,Non-inventory Part,14,CIRCUITS BOARDS,Tax,,0
,Non-inventory Part,014:014-001,EDKO PC Board,Tax,,95
,Non-inventory Part,014:014-002,Ramset Board,Tax,,500
,Non-inventory Part,014:014-003,All-o-Matic PC Board,Tax,,460
,Non-inventory Part,014:014-004,BCL Control Board,Tax,,380
,Non-inventory Part,014:014-005,Larko logic Board,Tax,,220
,Non-inventory Part,014:014-006,Larko Power board,Tax,,220
,Non-inventory Part,014:014-007,Larko Mother Board,Tax,,360
,Non-inventory Part,014:014-008,Linx Control Board,Tax,,96
,Non-inventory Part,014:014-009,1070 Board,Tax,,462.16
,Non-inventory Part,014:014-010,D/K PC Board 4501-010,Tax,,490
,Non-inventory Part,014:014-011,D/K Counter Board W/T Strip,Tax,,180
,Non-inventory Part,014:014-012,Board Repair,Tax,,200
,Non-inventory Part,014:014-013,Larko new style Board,Tax,,600
,Non-inventory Part,014:014-014,BCL LBS 300 Control Board,Tax,,550
,Non-inventory Part,014:014-015,O/H Control Board ACB,Tax,,100
,Non-inventory Part,014:014-016,All o Matic Terminal Strip,Tax,,25
,Non-inventory Part,014:014-017,Module Board,Tax,,515.88
,Non-inventory Part,014:014-018,Complete Upgrade circuit board.,Tax,,816
,Non-inventory Part,014:014-019,FAAC 450 Control Board,Tax,,685
,Non-inventory Part,014:014-020,Crusador Residential Control Board,Tax,,175
,Non-inventory Part,014:014-021,Robo Slide/ swing control board.,Tax,,440
,Non-inventory Part,014:014-022,R200 Control Board,Tax,,275
,Non-inventory Part,014:014-023,Door-king PC Board repair,Tax,,360
,Non-inventory Part,014:014-024,Eagle Control Board Up-grade,Tax,,700
,Non-inventory Part,014:014-025,Control Board AGS-3000,Tax,,650
,Non-inventory Part,014:014-026,Control board DK-910,Tax,,610
,Non-inventory Part,014:014-030,Doorking microphone board assembly,Tax,,100
,Non-inventory Part,014:014-031,Pach no bill system main control board...Model # MS79036-RC-B02,Tax,,550
,Non-inventory Part,014:014-033,Repaired Board - Exchange,Tax,,350
,Non-inventory Part,014:014-034,DK 1810 Circuit Board 1862-010,Tax,,990
,Non-inventory Part,014:014-035,Miracle 1 circuit board master and slave.,Tax,,850
,Non-inventory Part,014:014-036,Tektone Power Pack,Tax,,230
,Non-inventory Part,014:014-040,Power Master Control Board MT-51,Tax,,220
,Non-inventory Part,014:014-CM265,Essex Control Board,Tax,,278
,Non-inventory Part,014-037,Terminal Block / All-O-Matic,Tax,,45
,Non-inventory Part,014-038,LCD display,Tax,,275
,Non-inventory Part,014-039,D\K control board 9100 series.,Tax,,750
,Non-inventory Part,014-040,AOM AC Upgrade Kit,Tax,,550
,Non-inventory Part,014-041,Miracle 1 Control Board,Tax,,350
,Non-inventory Part,014-042,New Circuit Board for Lift Master CSL24V,Tax,,500
,Non-inventory Part,014-0427,Control board for a SWG-121...Part # 2500-23-93,Tax,,950
,Non-inventory Part,014-043,LA 500 control board green.,Tax,,800
,Non-inventory Part,014-044,Control Board Toro-24,Tax,,0
,Non-inventory Part,014-045,Power Board (Surge Protector),Tax,,120
,Non-inventory Part,014-046,DKS 4702-012 Control board.,Tax,,550
,Non-inventory Part,14038,Sensor Board TS-4,Tax,,180
,Non-inventory Part,15,WIRE,Tax,,0
,Non-inventory Part,015:015-001,2 Conductor Wire 16 Gage,Tax,,3
,Non-inventory Part,015:015-002,4 Conductor wire 18 Gage,Tax,,4
,Non-inventory Part,015:015-003,Phone Wire,Tax,,1
,Non-inventory Part,015:015-004,12 ga wire,Tax,,0.9
,Non-inventory Part,015:015-005,16Ga Wire,Tax,,0.75
,Non-inventory Part,015:015-006,Coax Wire RGW59,Tax,,3
,Non-inventory Part,015:015-007,6 conductor cable 18 gage,Tax,,5
,Non-inventory Part,015:015-008,3 Pair Phone Wire,Tax,,6
,Non-inventory Part,015:015-009,Master and slave cable (Elite),Tax,,290
,Non-inventory Part,015:015-010,Cat-5 Cable,Tax,,2
,Non-inventory Part,015-011,Direct burial cable.,Tax,,1.5
,Non-inventory Part,015-012,Motor cable 7 conductor.,Tax,,120
,Non-inventory Part,015-013,Armed cable with connectors.,Tax,,60
,Non-inventory Part,16,CONCRETE PRODUCTS,Tax,,0
,Non-inventory Part,016:016-001,Concrete,Tax,,10
,Non-inventory Part,016:016-002,Core drill charge,Tax,,100
,Non-inventory Part,016:016-003,3' x3' bumper post fill with concrete.,Tax,,120
,Non-inventory Part,016:016-004,44' by 11' Precast Step,Tax,,100
,Non-inventory Part,016:016-005,Ribbar,Tax,,1
,Non-inventory Part,016:016-006,Asphalt cut and Removal,Non,,350
,Non-inventory Part,016:016-007,6' x 6' Bumper Post Fill with Concrete and painted yellow.,Tax,,200
,Non-inventory Part,016:016-008,"44"" by 11"" Precast Step",Tax,,125
,Non-inventory Part,016:016-009,4' x 4' Post filled with concrete and painted yellow,Tax,,200
,Non-inventory Part,016:016-010,Custom precast landing approximately 4-feet wide by 8-feet long.,Tax,,550
,Non-inventory Part,016:016-011,Lockable round bumper post.,Tax,,180
,Non-inventory Part,016:016-012,Parking concrete bumper 6-feet.,Tax,,60
,Non-inventory Part,016:016-013,Parking concrete bumper 4-feet.,Tax,,46
,Non-inventory Part,016:016-015,Asphalt patch.,Tax,,7
,Non-inventory Part,016:016-016,Asphalt patch.,Tax,,9
,Non-inventory Part,016:016-017,3/4 inch gravel,Tax,,0
,Non-inventory Part,016:016-019,"Center block, block wall 6-feet high.",Tax,,65
,Non-inventory Part,016:016-020,Pea gravel,Tax,,45
,Non-inventory Part,016:016-071,12-Foot Plastic Arm,Tax,,83.25
,Non-inventory Part,016-021,3/4-inch Rib bar.,Tax,,20
,Non-inventory Part,017-001,Elite Operator Repair,Tax,,400
,Non-inventory Part,017-001:017-Q401,Elite 1HP Second Motor,Tax,,100
,Non-inventory Part,017-002,Battery Back-up,Tax,,850
,Non-inventory Part,017-003,Elite Dial Code LC Entry Telephone System,Tax,,1980
,Non-inventory Part,017-004,8.0 Elite Upgrade Chip M/S,Tax,,0
,Non-inventory Part,017-005,Memory Card,Tax,,0
,Non-inventory Part,017-006,CU Unit,Tax,,0
,Non-inventory Part,017-1812-017,DK1812 Push Button,Tax,,34
,Non-inventory Part,017-1m/Passport,Passport Digital Radio Receiver,Tax,,390
,Non-inventory Part,017-65-1209,15-foot arm assembly,Tax,,400
,Non-inventory Part,017-ACP17,Elite fire box with manual chain release.,Tax,,180
,Non-inventory Part,017-BUH,Control Harness,Tax,,150
,Non-inventory Part,017-Dial Code,Main Processor Unit,Tax,,1550
,Non-inventory Part,017-DT418,digital single transmitters.,Tax,,30
,Non-inventory Part,017-ECR485B,Card reader,Tax,,675
,Non-inventory Part,017-Elt-Q050,Old style gear box prior to 92,Tax,,480
,Non-inventory Part,017-k75,safety interlock assembly.,Tax,,100
,Non-inventory Part,017-k7550893,Motor cut off assembly.,Tax,,150
,Non-inventory Part,017-LM-50,ALMARMDOT 15' Arm Kit,Tax,,550
,Non-inventory Part,017-O-miracle1 arm,Elite miracle 1 arm only,Tax,,1150
,Non-inventory Part,017-omniup,Control board upgrade kit with surge protector.,Tax,,624
,Non-inventory Part,017-Q-Ant. P,Antenna Protection,Tax,,110
,Non-inventory Part,017-q-dcmotor,Dc motor.,Tax,,275
,Non-inventory Part,017-Q-Software,Elite Dial Code Software,Tax,,150
,Non-inventory Part,017-q solar panel,robo / miracle solar panel.,Tax,,1390
,Non-inventory Part,017-Q003,Chain Bolt,Tax,,6
,Non-inventory Part,017-Q005,Chassis for Elite SL300,Tax,,300
,Non-inventory Part,017-Q008,plastic cover,Tax,,300
,Non-inventory Part,017-Q009,Control box clear cover.,Tax,,40
,Non-inventory Part,017-Q013,Idler Wheel SL3000,Tax,,50
,Non-inventory Part,017-Q014,Drive sprocket,Tax,,95
,Non-inventory Part,017-Q015,Gear Box for SL-3000,Tax,,410
,Non-inventory Part,017-Q016,Limit Drive Sprocket,Tax,,20
,Non-inventory Part,017-Q017,PC Board old style to be discontinue,Tax,,480
,Non-inventory Part,017-Q018,1/2 HP Motor,Tax,,400
,Non-inventory Part,017-Q019UG,Upgrade kit for new control board.,Tax,,550
,Non-inventory Part,017-Q024,Limit switch box complete,Tax,,300
,Non-inventory Part,017-Q025,Motor Pulley,Tax,,13
,Non-inventory Part,017-Q026,Motor Capacitor,Tax,,60
,Non-inventory Part,017-Q027,C-face 1/2 Motor,Tax,,480
,Non-inventory Part,017-Q028,Hand Crank,Tax,,55
,Non-inventory Part,017-Q029,Limit micro switch,Tax,,50
,Non-inventory Part,017-Q030,Limit Chain,Tax,,10
,Non-inventory Part,017-Q031,Limit Shaft,Tax,,38
,Non-inventory Part,017-Q032,Limit Nut,Tax,,45
,Non-inventory Part,017-Q033,Limit sprocket top sl-3000,Tax,,10
,Non-inventory Part,017-Q039,Long Arm,Tax,,28.05
,Non-inventory Part,017-Q040,Motor Cable - Miracle 1,Tax,,75
,Non-inventory Part,017-Q044,Digital Radio Receiver,Tax,,513
,Non-inventory Part,017-Q052,Limit Bearing,Tax,,35
,Non-inventory Part,017-Q057,Limit Sprocket,Tax,,84
,Non-inventory Part,017-Q058,Shaft Output,Tax,,121
,Non-inventory Part,017-Q059,upper solid arm,Tax,,95
,Non-inventory Part,017-Q061,Arm main collar.,Tax,,180
,Non-inventory Part,017-Q069,Motor Coupler,Tax,,178
,Non-inventory Part,017-Q075,Limit Switch Ball Bearing,Tax,,11.2
